Province,Latitude_N,Longitude_E,Diameter_km,YOLO_Confidence
Arabia,10.924244429949418,9.277204119931444,47.139673461914064,0.9547966122627258
Arabia,13.66437129011432,18.70099946779257,44.448107421875,0.9537267088890076
Arabia,10.8550851338581,353.7992265291071,45.84487939453125,0.9521138668060304
Arabia,14.583309362652232,25.73523357891411,56.850648437500006,0.951608955860138
Arabia,13.95711822844246,342.2467178065768,59.33731524658204,0.9501006603240968
Arabia,29.784448223276048,6.8084254439493215,108.15221130371094,0.9494603872299194
Arabia,31.533039077092145,356.6232488774004,51.8103974609375,0.9482689499855042
Arabia,19.050245143464466,349.4110804762108,117.11243603515624,0.9481901526451112
Arabia,11.534529133028196,13.465664974241218,87.608546875,0.9469416737556458
Arabia,12.342740265929583,3.736710167283867,57.3633310546875,0.9462215304374696
Arabia,17.4078811734394,26.111276963123213,52.37615234375,0.945956289768219
Arabia,16.72081765336898,350.04062204875305,35.987024658203126,0.9459457397460938
Arabia,8.923993728415478,11.136627881660887,63.25613671875,0.9456028342247008
Arabia,26.20882396221161,347.98261380306343,54.2874619140625,0.9454662799835204
Arabia,32.59405986804407,25.30503632177574,60.05163671875,0.945458173751831
Arabia,33.09872466098915,359.3183461977748,52.41767346191406,0.9452133774757384
Arabia,30.258852725561383,18.05403447565291,51.78151428222657,0.9451408386230468
Arabia,32.66535801239384,8.542078203503106,56.92149169921876,0.9450696110725404
Arabia,22.48906634877029,339.0038438180502,55.3785869140625,0.9447038173675536
Arabia,18.25314646174607,355.27349777528855,56.632695312500005,0.9444937109947203
Arabia,17.804466789949288,20.683669581448985,80.38460156250001,0.9439222812652588
Arabia,20.670890012620724,10.32429858118407,43.82837402343751,0.9438093900680542
Arabia,15.58211307053427,37.268543593803145,61.890687011718754,0.943783700466156
Arabia,28.787362336834654,355.5588468134359,119.173291015625,0.943604290485382
Arabia,30.68857971162472,35.317445577168726,52.987194946289065,0.9435365796089172
Arabia,22.154921153170392,351.7599556892909,57.0725380859375,0.9432704448699952
Arabia,19.29382263433586,358.1155560457751,52.14528515625,0.9429258704185486
Arabia,30.98427795928659,350.8231726045287,44.91001171875,0.9428258538246156
Arabia,22.352700984177083,20.317809981799744,57.77853515625,0.9427610635757446
Arabia,21.418551030946013,37.77774568868486,58.128234375000005,0.9427448511123656
Arabia,26.149562636255062,356.6693945421083,45.0297783203125,0.9427160620689392
Arabia,26.187658639556,24.046703626029046,26.46703125,0.9425458312034608
Arabia,21.313661357268547,4.080755953628021,37.8515703125,0.9424154758453368
Arabia,17.255661312955098,14.29987703905569,50.33618359375,0.9423940777778624
Arabia,23.746089400782168,12.332995192852804,37.39429638671875,0.9422807097434998
Arabia,23.34633067899537,28.23038553341497,49.19144824218751,0.9421886801719666
Arabia,30.859547748936038,29.399856759403523,46.14772265625,0.9421712160110474
Arabia,10.206983807341564,338.8116425317771,41.24059838867188,0.9421391487121582
Arabia,13.618944634372747,20.963398946626345,41.14712011718751,0.942023515701294
Arabia,27.69989943680254,9.551185887868929,23.350041015625003,0.9420167207717896
Arabia,27.444212480470974,34.79221089288089,64.397275390625,0.9419843554496764
Arabia,14.597105307532749,1.2370167076007237,103.7636142578125,0.9419721961021424
Arabia,14.62037609044788,34.76630080744344,54.14483905029297,0.941900372505188
Arabia,27.38796977357957,2.315891280567154,57.23856591796875,0.9414090514183044
Arabia,16.47539409674487,10.391631721718031,51.87748828125,0.9413812756538392
Arabia,27.151261789358937,0.7413266919168144,39.10032617187501,0.9412026405334472
Arabia,27.900145828469288,11.465141457582678,72.964056640625,0.941185474395752
Arabia,16.111515435154,35.033059738780665,52.426958984375005,0.9411645531654358
Arabia,14.825652149904124,341.1404565387272,53.62994921875,0.9410576820373536
Arabia,19.0059781128226,4.901759204650187,55.92440429687501,0.9410472512245178
Arabia,19.934964846268443,12.006585829695512,51.1605029296875,0.9407919645309448
Arabia,15.908179793681914,359.8157108746932,33.7825361328125,0.9407761096954346
Arabia,13.187517870028042,9.230881386589022,55.182557250976565,0.9406811594963074
Arabia,19.72595967943229,19.102986787481694,40.175931640625,0.940660834312439
Arabia,22.413782163638515,25.523880644451804,47.0971328125,0.9406471848487854
Arabia,28.61473535185879,23.58368686876047,58.222654296875,0.9405258893966676
Arabia,24.374780706039918,11.127166906456818,49.860912109375,0.9405257105827332
Arabia,13.582332884779255,344.9947898925467,37.3692470703125,0.9405182003974916
Arabia,26.114392916114586,6.002418551069962,36.799697265625,0.9404641389846802
Arabia,21.06670450275384,342.55666994323445,64.25557470703126,0.940378963947296
Arabia,20.852162235778515,33.349107657907595,82.4728564453125,0.940339207649231
Arabia,24.959375716089045,0.5839615522163157,32.422821289062504,0.9403150677680968
Arabia,14.8034623553452,9.356180185883227,45.8329140625,0.9398750066757202
Arabia,18.89782258283745,36.0971193409859,50.99841162109375,0.939652979373932
Arabia,19.601865827736347,339.4392788517698,39.232872314453125,0.9395943284034728
